"Ãr";"Yrkeskode";"Yrke";"Estimert mangel pÃ¥ arbeidskraft i antall personer";"95 % konfidens-intervall for estimert mangel , nedre grense";"95 % konfidens-intervall for estimert mangel , Ã¸vre grense";
"2018";"2424";"RÃ¥dgivere innen kompetanseutvikling";"50";"2";"94";
"2018";"2434";"Salgskonsulenter innen IKT-produkter";"50";"2";"71";
"2018";"2521";"Databasedesignere og -administratorer";"50";"4";"102";
"2018";"2522";"Systemadministratorer";"50";"9";"95";
"2018";"2529";"Sikkerhetsanalytikere mv.";"50";"4";"102";
"2018";"2619";"Andre juridiske yrker";"50";"10";"100";
"2018";"2633";"RÃ¥dgivere/forskere, humanistiske fag";"50";"4";"133";
"2018";"2636";"Geistlige yrker";"50";"5";"125";
"2018";"2642";"Journalister";"50";"8";"65";
"2018";"3113";"ElkraftingeniÃ¸rer";"50";"15";"80";
"2018";"3114";"ElektronikkingeniÃ¸rer";"50";"9";"56";
"2018";"3115";"MaskiningeniÃ¸rer";"50";"24";"107";
"2018";"3117";"IngeniÃ¸rer innen petroleum, bergverk og metallurgi";"50";"5";"117";
"2018";"3133";"KontrolloperatÃ¸rer innen kjemisk prosessindustri";"50";"10";"214";
"2018";"3321";"Forsikringsagenter";"50";"13";"133";
"2018";"3333";"Arbeidsformidlere";"50";"4";"149";
"2018";"3339";"Andre yrker innen forretningstjenester";"50";"8";"106";
"2018";"3422";"Trenere og idrettsdommere";"50";"3";"65";
"2018";"3434";"Sjefskokker";"50";"6";"155";
"2018";"3439";"Andre yrker innen estetiske fag";"50";"5";"121";
"2018";"3514";"Internett-teknikere";"50";"3";"76";
"2018";"#I/T";"Teknikere innen telekom";"50";"3";"95";
"2018";"4222";"Kundesentermedarbeidere";"50";"3";"103";
"2018";"4223";"SentralbordoperatÃ¸rer";"50";"2";"80";
"2018";"4224";"Hotellresepsjonister";"50";"3";"108";
"2018";"4323";"TransportfunksjonÃ¦rer";"50";"2";"96";
"2018";"4415";"Arkivassistenter";"50";"2";"88";
"2018";"5132";"Bartendere";"50";"2";"99";
"2018";"5142";"Kosmetologer mv.";"50";"4";"125";
"2018";"#I/T";"Vaktmestre";"50";"12";"144";
"2018";"#I/T";"Gateselgere, mat";"50";"2";"111";
"2018";"5243";"DÃ¸rselgere";"50";"3";"165";
"2018";"6113";"Gartnere";"50";"8";"92";
"2018";"#I/T";"Plante- og husdyrprodusenter";"50";"7";"79";
"2018";"#I/T";"Steinhoggere mv.";"50";"2";"78";
"2018";"7125";"Glassarbeidere";"50";"2";"91";
"2018";"7127";"KuldemontÃ¸rer mv.";"50";"2";"91";
"2018";"#I/T";"VerktÃ¸ymaker, lÃ¥sesmeder mv.";"50";"4";"96";
"2018";"7223";"Metalldreiere mv.";"50";"3";"66";
"2018";"7322";"Trykkere";"50";"3";"90";
"2018";"7412";"Automatikere";"50";"4";"132";
"2018";"7413";"EnergimontÃ¸rer";"50";"2";"60";
"2018";"#I/T";"Slaktere, fiskehandlere mv.";"50";"7";"168";
"2018";"7531";"Skreddere, buntmakere mv.";"50";"9";"81";
"2018";"7541";"Yrkesdykkere";"50";"4";"124";
"2018";"8160";"OperatÃ¸rer innen nÃ¦ringsmiddelproduksjon";"50";"21";"103";
"2018";"#I/T";"Kran- og heisfÃ¸rere mv.";"50";"11";"123";
"2018";"8350";"Dekks- og maskinmannskap (skip)";"50";"4";"93";
"2018";"9212";"Hjelpearbeidere i husdyrproduksjon";"50";"6";"166";
"2018";"9312";"Hjelpearbeidere i anlegg";"50";"3";"87";
"2018";"9412";"KjÃ¸kkenassistenter";"50";"15";"124";
"2018";"9510";"ReklamedistributÃ¸rer mv.";"50";"3";"102";
"2018";"9629";"Andre hjelpearbeidere";"50";"5";"209";
